Year,UNIT_MEASURE,Value
2003,number_per_1000,10.9
2004,number_per_1000,11.0
2005,number_per_1000,11.6
2006,number_per_1000,11.2
2007,number_per_1000,12.0
2008,number_per_1000,11.4
2009,number_per_1000,11.7
2010,number_per_1000,11.5
2011,number_per_1000,11.6
2012,number_per_1000,11.8
2013,number_per_1000,11.9
2014,number_per_1000,12.3
2015,number_per_1000,13.0
2016,number_per_1000,12.1
2017,number_per_1000,12.7
2018,number_per_1000,12.9
2019,number_per_1000,13.2
2020,number_per_1000,14.6
