Year,UNIT_MEASURE,Пол,AGE,Value
2020,_%,Оба пола,15+,12.9
2020,_%,Оба пола,15 - 24,28.1
2020,_%,Оба пола,25 - 49,13.7
2020,_%,Оба пола,50 - 64,8.7
2020,_%,Оба пола,15 - 64,13.4
2020,_%,M,15+,12.7
2020,_%,M,15 - 24,26.2
2020,_%,M,25 - 49,13.6
2020,_%,M,50 - 64,8.7
2020,_%,M,15 - 64,13.2
2020,_%,Ж,15+,13.0
2020,_%,Ж,15 - 24,30.7
2020,_%,Ж,25 - 49,13.8
2020,_%,Ж,50 - 64,8.6
2020,_%,Ж,15 - 64,13.7
