Year,UNIT_MEASURE,Sex,Value
2003,Number,Both sexes,64
2004,Number,Both sexes,61
2005,Number,Both sexes,37
2006,Number,Both sexes,50
2007,Number,Both sexes,38
2008,Number,Both sexes,40
2009,Number,Both sexes,51
2010,Number,Both sexes,44
2011,Number,Both sexes,43
2012,Number,Both sexes,37
2013,Number,Both sexes,33
2014,Number,Both sexes,29
2015,Number,Both sexes,26
2016,Number,Both sexes,23
2017,Number,Both sexes,26
2018,Number,Both sexes,17
2019,Number,Both sexes,15
2020,Number,Both sexes,43
2003,Number,M,32
2004,Number,M,43
2005,Number,M,20
2006,Number,M,31
2007,Number,M,18
2008,Number,M,20
2009,Number,M,29
2010,Number,M,20
2011,Number,M,26
2012,Number,M,25
2013,Number,M,21
2014,Number,M,11
2015,Number,M,9
2016,Number,M,17
2017,Number,M,13
2018,Number,M,7
2019,Number,M,7
2020,Number,M,21
2003,Number,F,32
2004,Number,F,18
2005,Number,F,17
2006,Number,F,19
2007,Number,F,20
2008,Number,F,20
2009,Number,F,22
2010,Number,F,24
2011,Number,F,17
2012,Number,F,12
2013,Number,F,12
2014,Number,F,18
2015,Number,F,17
2016,Number,F,6
2017,Number,F,13
2018,Number,F,10
2019,Number,F,8
2020,Number,F,22
