Year,UNIT_MEASURE,Sex,Value
2003,Age,Total,73.8
2003,Age,M,71.19
2003,Age,F,76.4
2004,Age,Total,74.14
2004,Age,M,71.55
2004,Age,F,76.7
2005,Age,Total,73.87
2005,Age,M,71.05
2005,Age,F,76.69
2006,Age,Total,74.64
2006,Age,M,71.82
2006,Age,F,77.45
2007,Age,Total,74.43
2007,Age,M,71.67
2007,Age,F,77.21
2008,Age,Total,75.21
2008,Age,M,72.21
2008,Age,F,78.23
2009,Age,Total,75.32
2009,Age,M,72.62
2009,Age,F,78.02
2010,Age,Total,75.88
2010,Age,M,73.22
2010,Age,F,78.52
2011,Age,Total,76.18
2011,Age,M,73.42
2011,Age,F,78.96
2012,Age,Total,76.5
2012,Age,M,73.67
2012,Age,F,79.35
2013,Age,Total,76.42
2013,Age,M,73.5
2013,Age,F,79.36
2014,Age,Total,76.41
2014,Age,M,73.76
2014,Age,F,79.06
2015,Age,Total,76.19
2015,Age,M,73.6
2015,Age,F,78.78
2016,Age,Total,77.24
2016,Age,M,74.4
2016,Age,F,80.1
2017,Age,Total,77.2
2017,Age,M,74.68
2017,Age,F,79.71
2018,Age,Total,77.22
2018,Age,M,74.59
2018,Age,F,79.86
2019,Age,Total,77.15
2019,Age,M,74.34
2019,Age,F,80.0
2020,Age,Total,76.23
2020,Age,M,73.34
2020,Age,F,79.24
