Year,UNIT_MEASURE,Sex,Age,Value
2013,Number,Both sexes,Total,1170342
2013,Number,M,Total,571812
2013,Number,F,Total,598530
2013,Number,Both sexes,0-4,53405
2013,Number,M,0-4,27393
2013,Number,F,0-4,26012
2013,Number,Both sexes,5-9,54076
2013,Number,M,5-9,27716
2013,Number,F,5-9,26360
2013,Number,Both sexes,10-14,57326
2013,Number,M,10-14,29411
2013,Number,F,10-14,27915
2013,Number,Both sexes,15-19,70815
2013,Number,M,15-19,36577
2013,Number,F,15-19,34238
2013,Number,Both sexes,20-24,65363
2013,Number,M,20-24,33893
2013,Number,F,20-24,31470
2013,Number,Both sexes,25-29,76753
2013,Number,M,25-29,39159
2013,Number,F,25-29,37594
2013,Number,Both sexes,30-34,80472
2013,Number,M,30-34,40809
2013,Number,F,30-34,39663
2013,Number,Both sexes,35-39,80588
2013,Number,M,35-39,41264
2013,Number,F,35-39,39324
2013,Number,Both sexes,40-44,75683
2013,Number,M,40-44,38704
2013,Number,F,40-44,36979
2013,Number,Both sexes,45-49,82810
2013,Number,M,45-49,41422
2013,Number,F,45-49,41388
2013,Number,Both sexes,50-54,92000
2013,Number,M,50-54,45159
2013,Number,F,50-54,46841
2013,Number,Both sexes,55-59,93458
2013,Number,M,55-59,45289
2013,Number,F,55-59,48169
2013,Number,Both sexes,60-64,87204
2013,Number,M,60-64,41420
2013,Number,F,60-64,45784
2013,Number,Both sexes,65-69,60073
2013,Number,M,65-69,27337
2013,Number,F,65-69,32736
2013,Number,Both sexes,70-74,55148
2013,Number,M,70-74,23525
2013,Number,F,70-74,31623
2013,Number,Both sexes,75-79,48037
2013,Number,M,75-79,19261
2013,Number,F,75-79,28776
2013,Number,Both sexes,80-84,25566
2013,Number,M,80-84,9608
2013,Number,F,80-84,15958
2013,Number,Both sexes,85+,11565
2013,Number,M,85+,3865
2013,Number,F,85+,7700
