Year,Value,UNIT_MEASURE
2019,8.22,Број на 1.000 становника
2020,8.16,Број на 1.000 становника
2025,7.87,Број на 1.000 становника
2030,7.63,Број на 1.000 становника
2035,7.41,Број на 1.000 становника
2040,7.27,Број на 1.000 становника
2045,7.16,Број на 1.000 становника
2050,7.11,Број на 1.000 становника
2055,7.09,Број на 1.000 становника
2060,7.07,Број на 1.000 становника
2065,7.03,Број на 1.000 становника
2070,7.01,Број на 1.000 становника
