Year,UNIT_MEASURE,ADMIN_AREA,Пол,Nationality,Value
2013,Број,OSTRA LUKA,M,_T,1386
2013,Број,OSTRA LUKA,Ж,_T,1319
2013,Број,PALE,Оба пола,_T,20359
2013,Број,PALE,M,_T,9744
2013,Број,PALE,Ж,_T,10615
2013,Број,PELAGICEVO,Оба пола,_T,4358
2013,Број,PELAGICEVO,M,_T,2151
2013,Број,PELAGICEVO,Ж,_T,2207
2013,Број,PETROVAC,Оба пола,_T,354
2013,Број,PETROVAC,M,_T,169
2013,Број,PETROVAC,Ж,_T,185
2013,Број,PETROVO,Оба пола,_T,6317
2013,Број,PETROVO,M,_T,3043
2013,Број,PETROVO,Ж,_T,3274
2013,Број,PRIJEDOR,Оба пола,_T,80916
2013,Број,PRIJEDOR,M,_T,39418
2013,Број,PRIJEDOR,Ж,_T,41498
2013,Број,PRNJAVOR,Оба пола,_T,34357
2013,Број,PRNJAVOR,M,_T,16675
2013,Број,PRNJAVOR,Ж,_T,17682
2013,Број,RIBNIK,Оба пола,_T,5851
2013,Број,RIBNIK,M,_T,2900
2013,Број,RIBNIK,Ж,_T,2951
2013,Број,ROGATICA,Оба пола,_T,10302
2013,Број,ROGATICA,M,_T,5053
2013,Број,ROGATICA,Ж,_T,5249
2013,Број,RUDO,Оба пола,_T,7578
2013,Број,RUDO,M,_T,3840
2013,Број,RUDO,Ж,_T,3738
2013,Број,SOKOLAC,Оба пола,_T,11620
2013,Број,SOKOLAC,M,_T,5723
2013,Број,SOKOLAC,Ж,_T,5897
2013,Број,SRBAC,Оба пола,_T,16933
2013,Број,SRBAC,M,_T,8295
2013,Број,SRBAC,Ж,_T,8638
2013,Број,SREBRENICA,Оба пола,_T,11698
2013,Број,SREBRENICA,M,_T,5714
2013,Број,SREBRENICA,Ж,_T,5984
2013,Број,TESLIC,Оба пола,_T,37236
2013,Број,TESLIC,M,_T,17894
2013,Број,TESLIC,Ж,_T,19342
2013,Број,TREBINJE,Оба пола,_T,28239
2013,Број,TREBINJE,M,_T,13760
2013,Број,TREBINJE,Ж,_T,14479
2013,Број,TRNOVO,Оба пола,_T,1983
2013,Број,TRNOVO,M,_T,953
2013,Број,TRNOVO,Ж,_T,1030
2013,Број,UGLJEVIK,Оба пола,_T,15118
2013,Број,UGLJEVIK,M,_T,7626
2013,Број,UGLJEVIK,Ж,_T,7492
2013,Број,FOCA,Оба пола,_T,17580
2013,Број,FOCA,M,_T,8880
2013,Број,FOCA,Ж,_T,8700
2013,Број,HAN PIJESAK,Оба пола,_T,3445
2013,Број,HAN PIJESAK,M,_T,1632
2013,Број,HAN PIJESAK,Ж,_T,1813
2013,Број,CAJNICE,Оба пола,_T,4679
2013,Број,CAJNICE,M,_T,2347
2013,Број,CAJNICE,Ж,_T,2332
2013,Број,CELINAC,Оба пола,_T,15117
2013,Број,CELINAC,M,_T,7477
2013,Број,CELINAC,Ж,_T,7640
2013,Број,SAMAC,Оба пола,_T,16308
2013,Број,SAMAC,M,_T,7908
2013,Број,SAMAC,Ж,_T,8400
2013,Број,SEKOVICI,Оба пола,_T,6323
2013,Број,SEKOVICI,M,_T,3103
2013,Број,SEKOVICI,Ж,_T,3220
2013,Број,SIPOVO,Оба пола,_T,9969
2013,Број,SIPOVO,M,_T,5046
2013,Број,SIPOVO,Ж,_T,4923
2013,Број,REPUBLIKA SRPSKA,Оба пола,bosniaks,148477
2013,Број,REPUBLIKA SRPSKA,M,bosniaks,72148
2013,Број,REPUBLIKA SRPSKA,Ж,bosniaks,76329
2013,Број,BANJA LUKA,Оба пола,bosniaks,6816
2013,Број,BANJA LUKA,M,bosniaks,3108
2013,Број,BANJA LUKA,Ж,bosniaks,3708
2013,Број,BERKOVICI,Оба пола,bosniaks,155
2013,Број,BERKOVICI,M,bosniaks,87
2013,Број,BERKOVICI,Ж,bosniaks,68
2013,Број,BIJELJINA,Оба пола,bosniaks,11680
2013,Број,BIJELJINA,M,bosniaks,5733
2013,Број,BIJELJINA,Ж,bosniaks,5947
2013,Број,BILECA,Оба пола,bosniaks,26
2013,Број,BILECA,M,bosniaks,16
2013,Број,BILECA,Ж,bosniaks,10
2013,Број,BRATUNAC,Оба пола,bosniaks,6588
2013,Број,BRATUNAC,M,bosniaks,3218
2013,Број,BRATUNAC,Ж,bosniaks,3370
2013,Број,BROD,Оба пола,bosniaks,1312
2013,Број,BROD,M,bosniaks,640
2013,Број,BROD,Ж,bosniaks,672
2013,Број,VISEGRAD,Оба пола,bosniaks,895
2013,Број,VISEGRAD,M,bosniaks,454
2013,Број,VISEGRAD,Ж,bosniaks,441
2013,Број,VLASENICA,Оба пола,bosniaks,3360
2013,Број,VLASENICA,M,bosniaks,1646
2013,Број,VLASENICA,Ж,bosniaks,1714
2013,Број,VUKOSAVLJE,Оба пола,bosniaks,2025
2013,Број,VUKOSAVLJE,M,bosniaks,1034
2013,Број,VUKOSAVLJE,Ж,bosniaks,991
2013,Број,GACKO,Оба пола,bosniaks,332
2013,Број,GACKO,M,bosniaks,179
2013,Број,GACKO,Ж,bosniaks,153
2013,Број,GRADISKA,Оба пола,bosniaks,6266
2013,Број,GRADISKA,M,bosniaks,3047
2013,Број,GRADISKA,Ж,bosniaks,3219
2013,Број,DERVENTA,Оба пола,bosniaks,1686
2013,Број,DERVENTA,M,bosniaks,812
2013,Број,DERVENTA,Ж,bosniaks,874
2013,Број,DOBOJ,Оба пола,bosniaks,14417
2013,Број,DOBOJ,M,bosniaks,6904
2013,Број,DOBOJ,Ж,bosniaks,7513
2013,Број,DONJI ZABAR,Оба пола,bosniaks,4
2013,Број,DONJI ZABAR,M,bosniaks,0
2013,Број,DONJI ZABAR,Ж,bosniaks,4
2013,Број,ZVORNIK,Оба пола,bosniaks,16775
2013,Број,ZVORNIK,M,bosniaks,8206
2013,Број,ZVORNIK,Ж,bosniaks,8569
2013,Број,ISTOCNA ILIDZA,Оба пола,bosniaks,632
2013,Број,ISTOCNA ILIDZA,M,bosniaks,293
2013,Број,ISTOCNA ILIDZA,Ж,bosniaks,339
2013,Број,ISTOCNI DRVAR,Оба пола,bosniaks,0
2013,Број,ISTOCNI DRVAR,M,bosniaks,0
2013,Број,ISTOCNI DRVAR,Ж,bosniaks,0
2013,Број,ISTOCNI MOSTAR,Оба пола,bosniaks,78
2013,Број,ISTOCNI MOSTAR,M,bosniaks,45
2013,Број,ISTOCNI MOSTAR,Ж,bosniaks,33
2013,Број,ISTOCNI STARI GRAD,Оба пола,bosniaks,41
2013,Број,ISTOCNI STARI GRAD,M,bosniaks,25
2013,Број,ISTOCNI STARI GRAD,Ж,bosniaks,16
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,bosniaks,44
2013,Број,ISTOCNO NOVO SARAJEVO,M,bosniaks,14
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,bosniaks,30
2013,Број,JEZERO,Оба пола,bosniaks,251
2013,Број,JEZERO,M,bosniaks,118
2013,Број,JEZERO,Ж,bosniaks,133
2013,Број,KALINOVIK,Оба пола,bosniaks,43
2013,Број,KALINOVIK,M,bosniaks,19
2013,Број,KALINOVIK,Ж,bosniaks,24
2013,Број,KNEZEVO,Оба пола,bosniaks,413
2013,Број,KNEZEVO,M,bosniaks,186
2013,Број,KNEZEVO,Ж,bosniaks,227
2013,Број,KOZARSKA DUBICA,Оба пола,bosniaks,1883
2013,Број,KOZARSKA DUBICA,M,bosniaks,906
2013,Број,KOZARSKA DUBICA,Ж,bosniaks,977
2013,Број,KOSTAJNICA,Оба пола,bosniaks,1276
2013,Број,KOSTAJNICA,M,bosniaks,626
2013,Број,KOSTAJNICA,Ж,bosniaks,650
2013,Број,KOTOR VAROS,Оба пола,bosniaks,4516
2013,Број,KOTOR VAROS,M,bosniaks,2173
2013,Број,KOTOR VAROS,Ж,bosniaks,2343
2013,Број,KRUPA NA UNI,Оба пола,bosniaks,3
2013,Број,KRUPA NA UNI,M,bosniaks,1
2013,Број,KRUPA NA UNI,Ж,bosniaks,2
2013,Број,KUPRES,Оба пола,bosniaks,0
2013,Број,KUPRES,M,bosniaks,0
2013,Број,KUPRES,Ж,bosniaks,0
2013,Број,LAKTASI,Оба пола,bosniaks,104
2013,Број,LAKTASI,M,bosniaks,47
2013,Број,LAKTASI,Ж,bosniaks,57
2013,Број,LOPARE,Оба пола,bosniaks,1310
2013,Број,LOPARE,M,bosniaks,646
2013,Број,LOPARE,Ж,bosniaks,664
2013,Број,LJUBINJE,Оба пола,bosniaks,9
2013,Број,LJUBINJE,M,bosniaks,5
2013,Број,LJUBINJE,Ж,bosniaks,4
2013,Број,MILICI,Оба пола,bosniaks,3532
2013,Број,MILICI,M,bosniaks,1746
2013,Број,MILICI,Ж,bosniaks,1786
2013,Број,MODRICA,Оба пола,bosniaks,2880
2013,Број,MODRICA,M,bosniaks,1364
2013,Број,MODRICA,Ж,bosniaks,1516
2013,Број,MRKONJIC GRAD,Оба пола,bosniaks,354
2013,Број,MRKONJIC GRAD,M,bosniaks,170
2013,Број,MRKONJIC GRAD,Ж,bosniaks,184
2013,Број,NEVESINJE,Оба пола,bosniaks,508
2013,Број,NEVESINJE,M,bosniaks,261
2013,Број,NEVESINJE,Ж,bosniaks,247
2013,Број,NOVI GRAD,Оба пола,bosniaks,5214
2013,Број,NOVI GRAD,M,bosniaks,2606
2013,Број,NOVI GRAD,Ж,bosniaks,2608
2013,Број,NOVO GORAZDE,Оба пола,bosniaks,1317
2013,Број,NOVO GORAZDE,M,bosniaks,662
2013,Број,NOVO GORAZDE,Ж,bosniaks,655
2013,Број,OSMACI,Оба пола,bosniaks,2673
2013,Број,OSMACI,M,bosniaks,1321
2013,Број,OSMACI,Ж,bosniaks,1352
2013,Број,OSTRA LUKA,Оба пола,bosniaks,23
2013,Број,OSTRA LUKA,M,bosniaks,7
2013,Број,OSTRA LUKA,Ж,bosniaks,16
2013,Број,PALE,Оба пола,bosniaks,165
2013,Број,PALE,M,bosniaks,86
2013,Број,PALE,Ж,bosniaks,79
2013,Број,PELAGICEVO,Оба пола,bosniaks,13
2013,Број,PELAGICEVO,M,bosniaks,2
2013,Број,PELAGICEVO,Ж,bosniaks,11
2013,Број,PETROVAC,Оба пола,bosniaks,0
2013,Број,PETROVAC,M,bosniaks,0
2013,Број,PETROVAC,Ж,bosniaks,0
2013,Број,PETROVO,Оба пола,bosniaks,6
2013,Број,PETROVO,M,bosniaks,2
2013,Број,PETROVO,Ж,bosniaks,4
2013,Број,PRIJEDOR,Оба пола,bosniaks,22303
2013,Број,PRIJEDOR,M,bosniaks,10669
2013,Број,PRIJEDOR,Ж,bosniaks,11634
2013,Број,PRNJAVOR,Оба пола,bosniaks,2749
2013,Број,PRNJAVOR,M,bosniaks,1329
2013,Број,PRNJAVOR,Ж,bosniaks,1420
2013,Број,RIBNIK,Оба пола,bosniaks,0
2013,Број,RIBNIK,M,bosniaks,0
2013,Број,RIBNIK,Ж,bosniaks,0
2013,Број,ROGATICA,Оба пола,bosniaks,1009
2013,Број,ROGATICA,M,bosniaks,520
2013,Број,ROGATICA,Ж,bosniaks,489
2013,Број,RUDO,Оба пола,bosniaks,574
2013,Број,RUDO,M,bosniaks,300
2013,Број,RUDO,Ж,bosniaks,274
2013,Број,SOKOLAC,Оба пола,bosniaks,629
2013,Број,SOKOLAC,M,bosniaks,329
2013,Број,SOKOLAC,Ж,bosniaks,300
2013,Број,SRBAC,Оба пола,bosniaks,394
2013,Број,SRBAC,M,bosniaks,184
2013,Број,SRBAC,Ж,bosniaks,210
2013,Број,SREBRENICA,Оба пола,bosniaks,6122
2013,Број,SREBRENICA,M,bosniaks,2913
2013,Број,SREBRENICA,Ж,bosniaks,3209
2013,Број,TESLIC,Оба пола,bosniaks,6887
2013,Број,TESLIC,M,bosniaks,3387
2013,Број,TESLIC,Ж,bosniaks,3500
2013,Број,TREBINJE,Оба пола,bosniaks,863
2013,Број,TREBINJE,M,bosniaks,426
2013,Број,TREBINJE,Ж,bosniaks,437
2013,Број,TRNOVO,Оба пола,bosniaks,818
2013,Број,TRNOVO,M,bosniaks,405
2013,Број,TRNOVO,Ж,bosniaks,413
2013,Број,UGLJEVIK,Оба пола,bosniaks,1999
2013,Број,UGLJEVIK,M,bosniaks,974
2013,Број,UGLJEVIK,Ж,bosniaks,1025
2013,Број,FOCA,Оба пола,bosniaks,1169
2013,Број,FOCA,M,bosniaks,626
2013,Број,FOCA,Ж,bosniaks,543
2013,Број,HAN PIJESAK,Оба пола,bosniaks,420
2013,Број,HAN PIJESAK,M,bosniaks,204
2013,Број,HAN PIJESAK,Ж,bosniaks,216
2013,Број,CAJNICE,Оба пола,bosniaks,835
2013,Број,CAJNICE,M,bosniaks,439
2013,Број,CAJNICE,Ж,bosniaks,396
2013,Број,CELINAC,Оба пола,bosniaks,395
2013,Број,CELINAC,M,bosniaks,197
2013,Број,CELINAC,Ж,bosniaks,198
2013,Број,SAMAC,Оба пола,bosniaks,1005
2013,Број,SAMAC,M,bosniaks,486
2013,Број,SAMAC,Ж,bosniaks,519
2013,Број,SEKOVICI,Оба пола,bosniaks,103
2013,Број,SEKOVICI,M,bosniaks,51
2013,Број,SEKOVICI,Ж,bosniaks,52
2013,Број,SIPOVO,Оба пола,bosniaks,578
2013,Број,SIPOVO,M,bosniaks,294
2013,Број,SIPOVO,Ж,bosniaks,284
2013,Број,REPUBLIKA SRPSKA,Оба пола,croats,26509
2013,Број,REPUBLIKA SRPSKA,M,croats,11005
2013,Број,REPUBLIKA SRPSKA,Ж,croats,15504
2013,Број,BANJA LUKA,Оба пола,croats,4887
2013,Број,BANJA LUKA,M,croats,1761
2013,Број,BANJA LUKA,Ж,croats,3126
2013,Број,BERKOVICI,Оба пола,croats,11
2013,Број,BERKOVICI,M,croats,1
2013,Број,BERKOVICI,Ж,croats,10
2013,Број,BIJELJINA,Оба пола,croats,498
2013,Број,BIJELJINA,M,croats,140
2013,Број,BIJELJINA,Ж,croats,358
2013,Број,BILECA,Оба пола,croats,21
2013,Број,BILECA,M,croats,2
2013,Број,BILECA,Ж,croats,19
2013,Број,BRATUNAC,Оба пола,croats,30
2013,Број,BRATUNAC,M,croats,5
2013,Број,BRATUNAC,Ж,croats,25
2013,Број,BROD,Оба пола,croats,3021
2013,Број,BROD,M,croats,1413
2013,Број,BROD,Ж,croats,1608
2013,Број,VISEGRAD,Оба пола,croats,32
2013,Број,VISEGRAD,M,croats,5
2013,Број,VISEGRAD,Ж,croats,27
2013,Број,VLASENICA,Оба пола,croats,29
2013,Број,VLASENICA,M,croats,5
2013,Број,VLASENICA,Ж,croats,24
2013,Број,VUKOSAVLJE,Оба пола,croats,698
2013,Број,VUKOSAVLJE,M,croats,332
2013,Број,VUKOSAVLJE,Ж,croats,366
2013,Број,GACKO,Оба пола,croats,13
2013,Број,GACKO,M,croats,5
2013,Број,GACKO,Ж,croats,8
2013,Број,GRADISKA,Оба пола,croats,800
2013,Број,GRADISKA,M,croats,276
2013,Број,GRADISKA,Ж,croats,524
2013,Број,DERVENTA,Оба пола,croats,2181
2013,Број,DERVENTA,M,croats,1040
2013,Број,DERVENTA,Ж,croats,1141
2013,Број,DOBOJ,Оба пола,croats,1550
2013,Број,DOBOJ,M,croats,605
2013,Број,DOBOJ,Ж,croats,945
2013,Број,DONJI ZABAR,Оба пола,croats,991
2013,Број,DONJI ZABAR,M,croats,497
2013,Број,DONJI ZABAR,Ж,croats,494
2013,Број,ZVORNIK,Оба пола,croats,103
2013,Број,ZVORNIK,M,croats,17
2013,Број,ZVORNIK,Ж,croats,86
2013,Број,ISTOCNA ILIDZA,Оба пола,croats,148
2013,Број,ISTOCNA ILIDZA,M,croats,39
2013,Број,ISTOCNA ILIDZA,Ж,croats,109
2013,Број,ISTOCNI DRVAR,Оба пола,croats,1
2013,Број,ISTOCNI DRVAR,M,croats,0
2013,Број,ISTOCNI DRVAR,Ж,croats,1
2013,Број,ISTOCNI MOSTAR,Оба пола,croats,11
2013,Број,ISTOCNI MOSTAR,M,croats,8
2013,Број,ISTOCNI MOSTAR,Ж,croats,3
2013,Број,ISTOCNI STARI GRAD,Оба пола,croats,6
2013,Број,ISTOCNI STARI GRAD,M,croats,2
2013,Број,ISTOCNI STARI GRAD,Ж,croats,4
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,croats,102
2013,Број,ISTOCNO NOVO SARAJEVO,M,croats,23
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,croats,79
2013,Број,JEZERO,Оба пола,croats,6
2013,Број,JEZERO,M,croats,4
2013,Број,JEZERO,Ж,croats,2
2013,Број,KALINOVIK,Оба пола,croats,8
2013,Број,KALINOVIK,M,croats,2
2013,Број,KALINOVIK,Ж,croats,6
2013,Број,KNEZEVO,Оба пола,croats,24
2013,Број,KNEZEVO,M,croats,5
2013,Број,KNEZEVO,Ж,croats,19
2013,Број,KOZARSKA DUBICA,Оба пола,croats,261
2013,Број,KOZARSKA DUBICA,M,croats,79
2013,Број,KOZARSKA DUBICA,Ж,croats,182
2013,Број,KOSTAJNICA,Оба пола,croats,82
2013,Број,KOSTAJNICA,M,croats,29
2013,Број,KOSTAJNICA,Ж,croats,53
2013,Број,KOTOR VAROS,Оба пола,croats,852
2013,Број,KOTOR VAROS,M,croats,410
2013,Број,KOTOR VAROS,Ж,croats,442
2013,Број,KRUPA NA UNI,Оба пола,croats,2
2013,Број,KRUPA NA UNI,M,croats,0
2013,Број,KRUPA NA UNI,Ж,croats,2
2013,Број,KUPRES,Оба пола,croats,0
2013,Број,KUPRES,M,croats,0
2013,Број,KUPRES,Ж,croats,0
2013,Број,LAKTASI,Оба пола,croats,500
2013,Број,LAKTASI,M,croats,175
2013,Број,LAKTASI,Ж,croats,325
2013,Број,LOPARE,Оба пола,croats,48
2013,Број,LOPARE,M,croats,9
2013,Број,LOPARE,Ж,croats,39
2013,Број,LJUBINJE,Оба пола,croats,10
2013,Број,LJUBINJE,M,croats,3
2013,Број,LJUBINJE,Ж,croats,7
2013,Број,MILICI,Оба пола,croats,22
2013,Број,MILICI,M,croats,7
2013,Број,MILICI,Ж,croats,15
2013,Број,MODRICA,Оба пола,croats,1396
2013,Број,MODRICA,M,croats,662
2013,Број,MODRICA,Ж,croats,734
2013,Број,MRKONJIC GRAD,Оба пола,croats,148
2013,Број,MRKONJIC GRAD,M,croats,60
2013,Број,MRKONJIC GRAD,Ж,croats,88
2013,Број,NEVESINJE,Оба пола,croats,27
2013,Број,NEVESINJE,M,croats,9
2013,Број,NEVESINJE,Ж,croats,18
2013,Број,NOVI GRAD,Оба пола,croats,174
2013,Број,NOVI GRAD,M,croats,58
2013,Број,NOVI GRAD,Ж,croats,116
2013,Број,NOVO GORAZDE,Оба пола,croats,2
2013,Број,NOVO GORAZDE,M,croats,1
2013,Број,NOVO GORAZDE,Ж,croats,1
2013,Број,OSMACI,Оба пола,croats,7
2013,Број,OSMACI,M,croats,1
2013,Број,OSMACI,Ж,croats,6
2013,Број,OSTRA LUKA,Оба пола,croats,149
2013,Број,OSTRA LUKA,M,croats,74
2013,Број,OSTRA LUKA,Ж,croats,75
2013,Број,PALE,Оба пола,croats,126
2013,Број,PALE,M,croats,37
2013,Број,PALE,Ж,croats,89
2013,Број,PELAGICEVO,Оба пола,croats,1182
2013,Број,PELAGICEVO,M,croats,580
2013,Број,PELAGICEVO,Ж,croats,602
2013,Број,PETROVAC,Оба пола,croats,0
2013,Број,PETROVAC,M,croats,0
2013,Број,PETROVAC,Ж,croats,0
2013,Број,PETROVO,Оба пола,croats,34
2013,Број,PETROVO,M,croats,8
2013,Број,PETROVO,Ж,croats,26
2013,Број,PRIJEDOR,Оба пола,croats,1666
2013,Број,PRIJEDOR,M,croats,679
2013,Број,PRIJEDOR,Ж,croats,987
2013,Број,PRNJAVOR,Оба пола,croats,423
2013,Број,PRNJAVOR,M,croats,150
2013,Број,PRNJAVOR,Ж,croats,273
2013,Број,RIBNIK,Оба пола,croats,11
2013,Број,RIBNIK,M,croats,4
2013,Број,RIBNIK,Ж,croats,7
2013,Број,ROGATICA,Оба пола,croats,18
2013,Број,ROGATICA,M,croats,2
2013,Број,ROGATICA,Ж,croats,16
2013,Број,RUDO,Оба пола,croats,7
2013,Број,RUDO,M,croats,6
2013,Број,RUDO,Ж,croats,1
2013,Број,SOKOLAC,Оба пола,croats,28
2013,Број,SOKOLAC,M,croats,8
2013,Број,SOKOLAC,Ж,croats,20
2013,Број,SRBAC,Оба пола,croats,128
2013,Број,SRBAC,M,croats,21
2013,Број,SRBAC,Ж,croats,107
2013,Број,SREBRENICA,Оба пола,croats,14
2013,Број,SREBRENICA,M,croats,6
2013,Број,SREBRENICA,Ж,croats,8
2013,Број,TESLIC,Оба пола,croats,1346
2013,Број,TESLIC,M,croats,581
2013,Број,TESLIC,Ж,croats,765
2013,Број,TREBINJE,Оба пола,croats,295
2013,Број,TREBINJE,M,croats,99
2013,Број,TREBINJE,Ж,croats,196
2013,Број,TRNOVO,Оба пола,croats,15
2013,Број,TRNOVO,M,croats,3
2013,Број,TRNOVO,Ж,croats,12
2013,Број,UGLJEVIK,Оба пола,croats,42
2013,Број,UGLJEVIK,M,croats,8
2013,Број,UGLJEVIK,Ж,croats,34
2013,Број,FOCA,Оба пола,croats,52
2013,Број,FOCA,M,croats,16
2013,Број,FOCA,Ж,croats,36
2013,Број,HAN PIJESAK,Оба пола,croats,7
2013,Број,HAN PIJESAK,M,croats,1
2013,Број,HAN PIJESAK,Ж,croats,6
2013,Број,CAJNICE,Оба пола,croats,6
2013,Број,CAJNICE,M,croats,1
2013,Број,CAJNICE,Ж,croats,5
2013,Број,CELINAC,Оба пола,croats,48
2013,Број,CELINAC,M,croats,11
2013,Број,CELINAC,Ж,croats,37
2013,Број,SAMAC,Оба пола,croats,2176
2013,Број,SAMAC,M,croats,1011
2013,Број,SAMAC,Ж,croats,1165
