Year,Value,UNIT_MEASURE
2003,0.62,no_per_1000_population
2004,0.54,no_per_1000_population
2005,0.61,no_per_1000_population
2006,0.44,no_per_1000_population
2007,0.5,no_per_1000_population
2008,0.27,no_per_1000_population
2009,0.39,no_per_1000_population
2010,0.44,no_per_1000_population
2011,0.75,no_per_1000_population
2012,0.75,no_per_1000_population
2013,0.9,no_per_1000_population
2014,0.95,no_per_1000_population
2015,0.98,no_per_1000_population
2016,0.89,no_per_1000_population
2017,0.85,no_per_1000_population
2018,0.8,no_per_1000_population
2019,0.8,no_per_1000_population
2020,0.8,no_per_1000_population
2021,0.9,no_per_1000_population
2022,0.9,no_per_1000_population
2023,0.9,no_per_1000_population
2024,0.8,no_per_1000_population
