Year,UNIT_MEASURE,SEX,AGE,Value
2020,_%,_T,15+,45.5
2020,_%,_T,15 - 24,24.2
2020,_%,_T,25 - 49,69.9
2020,_%,_T,50 - 64,52.4
2020,_%,_T,15 - 64,56.5
2020,_%,M,15+,52.7
2020,_%,M,15 - 24,28.6
2020,_%,M,25 - 49,75
2020,_%,M,50 - 64,63.2
2020,_%,M,15 - 64,63.4
2020,_%,F,15+,38.8
2020,_%,F,15 - 24,19.4
2020,_%,F,25 - 49,64.6
2020,_%,F,50 - 64,42.1
2020,_%,F,15 - 64,49.5
2021,_%,_T,15+,43.5
2021,_%,_T,15 - 24,22.5
2021,_%,_T,25 - 49,68.4
2021,_%,_T,50 - 64,50.5
2021,_%,_T,15 - 64,55.0
2021,_%,M,15+,51.9
2021,_%,M,15 - 24,26.8
2021,_%,M,25 - 49,75.5
2021,_%,M,50 - 64,62.5
2021,_%,M,15 - 64,63.3
2021,_%,F,15+,35.6
2021,_%,F,15 - 24,17.8
2021,_%,F,25 - 49,60.8
2021,_%,F,50 - 64,39.0
2021,_%,F,15 - 64,46.5
