Year,UNIT_MEASURE,Value
2003,no_per_1000_population,0.62
2004,no_per_1000_population,0.54
2005,no_per_1000_population,0.61
2006,no_per_1000_population,0.44
2007,no_per_1000_population,0.50
2008,no_per_1000_population,0.27
2009,no_per_1000_population,0.39
2010,no_per_1000_population,0.44
2011,no_per_1000_population,0.75
2012,no_per_1000_population,0.75
2013,no_per_1000_population,0.90
2014,no_per_1000_population,0.95
2015,no_per_1000_population,0.98
2016,no_per_1000_population,0.89
2017,no_per_1000_population,0.85
2018,no_per_1000_population,0.80
2019,no_per_1000_population,0.80
2020,no_per_1000_population,0.80
2021,no_per_1000_population,0.90
2022,no_per_1000_population,0.90
2023,no_per_1000_population,0.90
2024,no_per_1000_population,0.80
