Year,UNIT_MEASURE,Value
2000,BAM,2834
2001,BAM,3081
2002,BAM,3539
2003,BAM,3850
2004,BAM,4318
2005,BAM,4809
2006,BAM,5535
2007,BAM,6240
2008,BAM,7226
2009,BAM,7023
2010,BAM,7104
2011,BAM,7425
2012,BAM,7363
2013,BAM,7526
2014,BAM,7635
2015,BAM,7937
2016,BAM,8338
2017,BAM,8759
2018,BAM,9322
2019,BAM,9848
2020,BAM,9797
2021,BAM,11080
2022,BAM,12977
2000,EUR,1449
2001,EUR,1575
2002,EUR,1809
2003,EUR,1969
2004,EUR,2208
2005,EUR,2459
2006,EUR,2830
2007,EUR,3191
2008,EUR,3695
2009,EUR,3591
2010,EUR,3632
2011,EUR,3796
2012,EUR,3765
2013,EUR,3848
2014,EUR,3904
2015,EUR,4058
2016,EUR,4263
2017,EUR,4478
2018,EUR,4766
2019,EUR,5035
2020,EUR,5009
2021,EUR,5665
2022,EUR,6635
2000,USD,1337
2001,USD,1410
2002,USD,1704
2003,USD,2221
2004,USD,2741
2005,USD,3058
2006,USD,3550
2007,USD,4365
2008,USD,5406
2009,USD,4992
2010,USD,4810
2011,USD,5281
2012,USD,4836
2013,USD,5108
2014,USD,5180
2015,USD,4503
2016,USD,4716
2017,USD,5047
2018,USD,5624
2019,USD,5636
2020,USD,5707
2021,USD,6699
2022,USD,6976
