Year,AGE,UNIT_MEASURE,Value
2003,<15,NUMBER,0
2003,15 - 19,NUMBER,688
2004,<15,NUMBER,4
2004,15 - 19,NUMBER,697
2005,<15,NUMBER,3
2005,15 - 19,NUMBER,659
2006,<15,NUMBER,3
2006,15 - 19,NUMBER,586
2007,<15,NUMBER,3
2007,15 - 19,NUMBER,557
2008,<15,NUMBER,4
2008,15 - 19,NUMBER,536
2009,<15,NUMBER,3
2009,15 - 19,NUMBER,499
2010,<15,NUMBER,0
2010,15 - 19,NUMBER,436
2011,<15,NUMBER,0
2011,15 - 19,NUMBER,407
2012,<15,NUMBER,1
2012,15 - 19,NUMBER,452
2013,<15,NUMBER,0
2013,15 - 19,NUMBER,376
2014,<15,NUMBER,0
2014,15 - 19,NUMBER,362
2015,<15,NUMBER,1
2015,15 - 19,NUMBER,311
2016,<15,NUMBER,1
2016,15 - 19,NUMBER,337
2017,<15,NUMBER,0
2017,15 - 19,NUMBER,280
2018,<15,NUMBER,1
2018,15 - 19,NUMBER,219
2019,<15,NUMBER,1
2019,15 - 19,NUMBER,223
2020,<15,NUMBER,2
2020,15 - 19,NUMBER,216
2021,<15,NUMBER,0
2021,15 - 19,NUMBER,208
2022,<15,NUMBER,2
2022,15 - 19,NUMBER,197
2023,<15,NUMBER,0
2023,15 - 19,NUMBER,179
