Year,UNIT_MEASURE,Administrativna oblast,Pol,Najviši dostugnuti stepen obrazovanja,Value
2013,Broj,Republika Srpska,Oba pola,Bez obrazovanja,58651
2013,Broj,Republika Srpska,M,Bez obrazovanja,9370
2013,Broj,Republika Srpska,Ž,Bez obrazovanja,49281
2013,Broj,Grad Banja Luka,Oba pola,Bez obrazovanja,5673
2013,Broj,Grad Banja Luka,M,Bez obrazovanja,921
2013,Broj,Grad Banja Luka,Ž,Bez obrazovanja,4752
2013,Broj,Berkovići,Oba pola,Bez obrazovanja,104
2013,Broj,Berkovići,M,Bez obrazovanja,8
2013,Broj,Berkovići,Ž,Bez obrazovanja,96
2013,Broj,Grad Bijeljina,Oba pola,Bez obrazovanja,3916
2013,Broj,Grad Bijeljina,M,Bez obrazovanja,650
2013,Broj,Grad Bijeljina,Ž,Bez obrazovanja,3266
2013,Broj,Bileća,Oba pola,Bez obrazovanja,246
2013,Broj,Bileća,M,Bez obrazovanja,42
2013,Broj,Bileća,Ž,Bez obrazovanja,204
2013,Broj,Bratunac,Oba pola,Bez obrazovanja,1297
2013,Broj,Bratunac,M,Bez obrazovanja,166
2013,Broj,Bratunac,Ž,Bez obrazovanja,1131
2013,Broj,Brod,Oba pola,Bez obrazovanja,586
2013,Broj,Brod,M,Bez obrazovanja,90
2013,Broj,Brod,Ž,Bez obrazovanja,496
2013,Broj,Višegrad,Oba pola,Bez obrazovanja,576
2013,Broj,Višegrad,M,Bez obrazovanja,65
2013,Broj,Višegrad,Ž,Bez obrazovanja,511
2013,Broj,Vlasenica,Oba pola,Bez obrazovanja,629
2013,Broj,Vlasenica,M,Bez obrazovanja,101
2013,Broj,Vlasenica,Ž,Bez obrazovanja,528
2013,Broj,Vukosavlje,Oba pola,Bez obrazovanja,329
2013,Broj,Vukosavlje,M,Bez obrazovanja,69
2013,Broj,Vukosavlje,Ž,Bez obrazovanja,260
2013,Broj,Gacko,Oba pola,Bez obrazovanja,268
2013,Broj,Gacko,M,Bez obrazovanja,22
2013,Broj,Gacko,Ž,Bez obrazovanja,246
2013,Broj,Grad Gradiška,Oba pola,Bez obrazovanja,2608
2013,Broj,Grad Gradiška,M,Bez obrazovanja,425
2013,Broj,Grad Gradiška,Ž,Bez obrazovanja,2183
2013,Broj,Grad Derventa,Oba pola,Bez obrazovanja,1538
2013,Broj,Grad Derventa,M,Bez obrazovanja,281
2013,Broj,Grad Derventa,Ž,Bez obrazovanja,1257
2013,Broj,Grad Doboj,Oba pola,Bez obrazovanja,3364
2013,Broj,Grad Doboj,M,Bez obrazovanja,496
2013,Broj,Grad Doboj,Ž,Bez obrazovanja,2868
2013,Broj,Donji Žabar,Oba pola,Bez obrazovanja,209
2013,Broj,Donji Žabar,M,Bez obrazovanja,37
2013,Broj,Donji Žabar,Ž,Bez obrazovanja,172
2013,Broj,Grad Zvornik,Oba pola,Bez obrazovanja,3216
2013,Broj,Grad Zvornik,M,Bez obrazovanja,484
2013,Broj,Grad Zvornik,Ž,Bez obrazovanja,2732
2013,Broj,Istočna Ilidža,Oba pola,Bez obrazovanja,280
2013,Broj,Istočna Ilidža,M,Bez obrazovanja,33
2013,Broj,Istočna Ilidža,Ž,Bez obrazovanja,247
2013,Broj,Istočni Drvar,Oba pola,Bez obrazovanja,5
2013,Broj,Istočni Drvar,M,Bez obrazovanja,0
2013,Broj,Istočni Drvar,Ž,Bez obrazovanja,5
2013,Broj,Istočni Mostar,Oba pola,Bez obrazovanja,19
2013,Broj,Istočni Mostar,M,Bez obrazovanja,1
2013,Broj,Istočni Mostar,Ž,Bez obrazovanja,18
2013,Broj,Istočni Stari Grad,Oba pola,Bez obrazovanja,61
2013,Broj,Istočni Stari Grad,M,Bez obrazovanja,5
2013,Broj,Istočni Stari Grad,Ž,Bez obrazovanja,56
2013,Broj,Istočno Novo Sarajevo,Oba pola,Bez obrazovanja,191
2013,Broj,Istočno Novo Sarajevo,M,Bez obrazovanja,25
2013,Broj,Istočno Novo Sarajevo,Ž,Bez obrazovanja,166
2013,Broj,Jezero,Oba pola,Bez obrazovanja,79
2013,Broj,Jezero,M,Bez obrazovanja,14
2013,Broj,Jezero,Ž,Bez obrazovanja,65
2013,Broj,Kalinovik,Oba pola,Bez obrazovanja,158
2013,Broj,Kalinovik,M,Bez obrazovanja,11
2013,Broj,Kalinovik,Ž,Bez obrazovanja,147
2013,Broj,Kneževo,Oba pola,Bez obrazovanja,1390
2013,Broj,Kneževo,M,Bez obrazovanja,311
2013,Broj,Kneževo,Ž,Bez obrazovanja,1079
2013,Broj,Kozarska Dubica,Oba pola,Bez obrazovanja,984
2013,Broj,Kozarska Dubica,M,Bez obrazovanja,154
2013,Broj,Kozarska Dubica,Ž,Bez obrazovanja,830
2013,Broj,Kostajnica,Oba pola,Bez obrazovanja,163
2013,Broj,Kostajnica,M,Bez obrazovanja,28
2013,Broj,Kostajnica,Ž,Bez obrazovanja,135
2013,Broj,Kotor Varoš,Oba pola,Bez obrazovanja,1503
2013,Broj,Kotor Varoš,M,Bez obrazovanja,282
2013,Broj,Kotor Varoš,Ž,Bez obrazovanja,1221
2013,Broj,Krupa Na Uni,Oba pola,Bez obrazovanja,157
2013,Broj,Krupa Na Uni,M,Bez obrazovanja,19
2013,Broj,Krupa Na Uni,Ž,Bez obrazovanja,138
2013,Broj,Kupres,Oba pola,Bez obrazovanja,103
2013,Broj,Kupres,M,Bez obrazovanja,33
2013,Broj,Kupres,Ž,Bez obrazovanja,70
2013,Broj,Laktaši,Oba pola,Bez obrazovanja,1363
2013,Broj,Laktaši,M,Bez obrazovanja,229
2013,Broj,Laktaši,Ž,Bez obrazovanja,1134
2013,Broj,Lopare,Oba pola,Bez obrazovanja,1235
2013,Broj,Lopare,M,Bez obrazovanja,243
2013,Broj,Lopare,Ž,Bez obrazovanja,992
2013,Broj,Ljubinje,Oba pola,Bez obrazovanja,110
2013,Broj,Ljubinje,M,Bez obrazovanja,12
2013,Broj,Ljubinje,Ž,Bez obrazovanja,98
2013,Broj,Milići,Oba pola,Bez obrazovanja,643
2013,Broj,Milići,M,Bez obrazovanja,96
2013,Broj,Milići,Ž,Bez obrazovanja,547
2013,Broj,Modriča,Oba pola,Bez obrazovanja,1278
2013,Broj,Modriča,M,Bez obrazovanja,241
2013,Broj,Modriča,Ž,Bez obrazovanja,1037
2013,Broj,Mrkonjić Grad,Oba pola,Bez obrazovanja,1462
2013,Broj,Mrkonjić Grad,M,Bez obrazovanja,213
2013,Broj,Mrkonjić Grad,Ž,Bez obrazovanja,1249
2013,Broj,Nevesinje,Oba pola,Bez obrazovanja,545
2013,Broj,Nevesinje,M,Bez obrazovanja,56
2013,Broj,Nevesinje,Ž,Bez obrazovanja,489
2013,Broj,Novi Grad,Oba pola,Bez obrazovanja,1036
2013,Broj,Novi Grad,M,Bez obrazovanja,171
2013,Broj,Novi Grad,Ž,Bez obrazovanja,865
2013,Broj,Novo Goražde,Oba pola,Bez obrazovanja,127
2013,Broj,Novo Goražde,M,Bez obrazovanja,21
2013,Broj,Novo Goražde,Ž,Bez obrazovanja,106
2013,Broj,Osmaci,Oba pola,Bez obrazovanja,397
2013,Broj,Osmaci,M,Bez obrazovanja,62
2013,Broj,Osmaci,Ž,Bez obrazovanja,335
2013,Broj,Oštra Luka,Oba pola,Bez obrazovanja,247
2013,Broj,Oštra Luka,M,Bez obrazovanja,43
2013,Broj,Oštra Luka,Ž,Bez obrazovanja,204
2013,Broj,Pale,Oba pola,Bez obrazovanja,606
2013,Broj,Pale,M,Bez obrazovanja,80
2013,Broj,Pale,Ž,Bez obrazovanja,526
2013,Broj,Pelagićevo,Oba pola,Bez obrazovanja,290
2013,Broj,Pelagićevo,M,Bez obrazovanja,46
2013,Broj,Pelagićevo,Ž,Bez obrazovanja,244
2013,Broj,Petrovac,Oba pola,Bez obrazovanja,11
2013,Broj,Petrovac,M,Bez obrazovanja,0
2013,Broj,Petrovac,Ž,Bez obrazovanja,11
2013,Broj,Petrovo,Oba pola,Bez obrazovanja,403
2013,Broj,Petrovo,M,Bez obrazovanja,48
2013,Broj,Petrovo,Ž,Bez obrazovanja,355
2013,Broj,Grad Prijedor,Oba pola,Bez obrazovanja,3918
2013,Broj,Grad Prijedor,M,Bez obrazovanja,760
2013,Broj,Grad Prijedor,Ž,Bez obrazovanja,3158
2013,Broj,Prnjavor,Oba pola,Bez obrazovanja,2654
2013,Broj,Prnjavor,M,Bez obrazovanja,391
2013,Broj,Prnjavor,Ž,Bez obrazovanja,2263
2013,Broj,Ribnik,Oba pola,Bez obrazovanja,680
2013,Broj,Ribnik,M,Bez obrazovanja,118
2013,Broj,Ribnik,Ž,Bez obrazovanja,562
2013,Broj,Rogatica,Oba pola,Bez obrazovanja,633
2013,Broj,Rogatica,M,Bez obrazovanja,89
2013,Broj,Rogatica,Ž,Bez obrazovanja,544
2013,Broj,Rudo,Oba pola,Bez obrazovanja,279
2013,Broj,Rudo,M,Bez obrazovanja,38
2013,Broj,Rudo,Ž,Bez obrazovanja,241
2013,Broj,Sokolac,Oba pola,Bez obrazovanja,392
2013,Broj,Sokolac,M,Bez obrazovanja,52
2013,Broj,Sokolac,Ž,Bez obrazovanja,340
2013,Broj,Srbac,Oba pola,Bez obrazovanja,1115
2013,Broj,Srbac,M,Bez obrazovanja,235
2013,Broj,Srbac,Ž,Bez obrazovanja,880
2013,Broj,Srebrenica,Oba pola,Bez obrazovanja,852
2013,Broj,Srebrenica,M,Bez obrazovanja,105
2013,Broj,Srebrenica,Ž,Bez obrazovanja,747
2013,Broj,Teslić,Oba pola,Bez obrazovanja,3299
2013,Broj,Teslić,M,Bez obrazovanja,471
2013,Broj,Teslić,Ž,Bez obrazovanja,2828
2013,Broj,Grad Trebinje,Oba pola,Bez obrazovanja,382
2013,Broj,Grad Trebinje,M,Bez obrazovanja,44
2013,Broj,Grad Trebinje,Ž,Bez obrazovanja,338
2013,Broj,Trnovo,Oba pola,Bez obrazovanja,143
2013,Broj,Trnovo,M,Bez obrazovanja,14
2013,Broj,Trnovo,Ž,Bez obrazovanja,129
2013,Broj,Ugljevik,Oba pola,Bez obrazovanja,856
2013,Broj,Ugljevik,M,Bez obrazovanja,135
2013,Broj,Ugljevik,Ž,Bez obrazovanja,721
2013,Broj,Foča,Oba pola,Bez obrazovanja,775
2013,Broj,Foča,M,Bez obrazovanja,92
2013,Broj,Foča,Ž,Bez obrazovanja,683
2013,Broj,Han Pijesak,Oba pola,Bez obrazovanja,198
2013,Broj,Han Pijesak,M,Bez obrazovanja,22
2013,Broj,Han Pijesak,Ž,Bez obrazovanja,176
2013,Broj,Čajniče,Oba pola,Bez obrazovanja,224
2013,Broj,Čajniče,M,Bez obrazovanja,31
2013,Broj,Čajniče,Ž,Bez obrazovanja,193
2013,Broj,Čelinac,Oba pola,Bez obrazovanja,832
2013,Broj,Čelinac,M,Bez obrazovanja,109
2013,Broj,Čelinac,Ž,Bez obrazovanja,723
2013,Broj,Šamac,Oba pola,Bez obrazovanja,627
2013,Broj,Šamac,M,Bez obrazovanja,90
2013,Broj,Šamac,Ž,Bez obrazovanja,537
2013,Broj,Šekovići,Oba pola,Bez obrazovanja,655
2013,Broj,Šekovići,M,Bez obrazovanja,120
2013,Broj,Šekovići,Ž,Bez obrazovanja,535
2013,Broj,Šipovo,Oba pola,Bez obrazovanja,732
2013,Broj,Šipovo,M,Bez obrazovanja,120
2013,Broj,Šipovo,Ž,Bez obrazovanja,612
2013,Broj,Republika Srpska,Oba pola,Nepotpuno osnovno obrazovanje,97022
2013,Broj,Republika Srpska,M,Nepotpuno osnovno obrazovanje,33465
2013,Broj,Republika Srpska,Ž,Nepotpuno osnovno obrazovanje,63557
2013,Broj,Grad Banja Luka,Oba pola,Nepotpuno osnovno obrazovanje,6483
2013,Broj,Grad Banja Luka,M,Nepotpuno osnovno obrazovanje,2117
2013,Broj,Grad Banja Luka,Ž,Nepotpuno osnovno obrazovanje,4366
2013,Broj,Berkovići,Oba pola,Nepotpuno osnovno obrazovanje,229
2013,Broj,Berkovići,M,Nepotpuno osnovno obrazovanje,74
2013,Broj,Berkovići,Ž,Nepotpuno osnovno obrazovanje,155
2013,Broj,Grad Bijeljina,Oba pola,Nepotpuno osnovno obrazovanje,10740
2013,Broj,Grad Bijeljina,M,Nepotpuno osnovno obrazovanje,3999
2013,Broj,Grad Bijeljina,Ž,Nepotpuno osnovno obrazovanje,6741
2013,Broj,Bileća,Oba pola,Nepotpuno osnovno obrazovanje,747
2013,Broj,Bileća,M,Nepotpuno osnovno obrazovanje,187
2013,Broj,Bileća,Ž,Nepotpuno osnovno obrazovanje,560
2013,Broj,Bratunac,Oba pola,Nepotpuno osnovno obrazovanje,1364
2013,Broj,Bratunac,M,Nepotpuno osnovno obrazovanje,395
2013,Broj,Bratunac,Ž,Nepotpuno osnovno obrazovanje,969
2013,Broj,Brod,Oba pola,Nepotpuno osnovno obrazovanje,1241
2013,Broj,Brod,M,Nepotpuno osnovno obrazovanje,328
2013,Broj,Brod,Ž,Nepotpuno osnovno obrazovanje,913
2013,Broj,Višegrad,Oba pola,Nepotpuno osnovno obrazovanje,783
2013,Broj,Višegrad,M,Nepotpuno osnovno obrazovanje,203
2013,Broj,Višegrad,Ž,Nepotpuno osnovno obrazovanje,580
2013,Broj,Vlasenica,Oba pola,Nepotpuno osnovno obrazovanje,758
2013,Broj,Vlasenica,M,Nepotpuno osnovno obrazovanje,243
2013,Broj,Vlasenica,Ž,Nepotpuno osnovno obrazovanje,515
2013,Broj,Vukosavlje,Oba pola,Nepotpuno osnovno obrazovanje,719
2013,Broj,Vukosavlje,M,Nepotpuno osnovno obrazovanje,300
2013,Broj,Vukosavlje,Ž,Nepotpuno osnovno obrazovanje,419
2013,Broj,Gacko,Oba pola,Nepotpuno osnovno obrazovanje,496
2013,Broj,Gacko,M,Nepotpuno osnovno obrazovanje,135
2013,Broj,Gacko,Ž,Nepotpuno osnovno obrazovanje,361
2013,Broj,Grad Gradiška,Oba pola,Nepotpuno osnovno obrazovanje,4821
2013,Broj,Grad Gradiška,M,Nepotpuno osnovno obrazovanje,1832
2013,Broj,Grad Gradiška,Ž,Nepotpuno osnovno obrazovanje,2989
2013,Broj,Grad Derventa,Oba pola,Nepotpuno osnovno obrazovanje,2759
2013,Broj,Grad Derventa,M,Nepotpuno osnovno obrazovanje,1030
2013,Broj,Grad Derventa,Ž,Nepotpuno osnovno obrazovanje,1729
2013,Broj,Grad Doboj,Oba pola,Nepotpuno osnovno obrazovanje,6019
2013,Broj,Grad Doboj,M,Nepotpuno osnovno obrazovanje,1823
2013,Broj,Grad Doboj,Ž,Nepotpuno osnovno obrazovanje,4196
2013,Broj,Donji Žabar,Oba pola,Nepotpuno osnovno obrazovanje,707
2013,Broj,Donji Žabar,M,Nepotpuno osnovno obrazovanje,304
2013,Broj,Donji Žabar,Ž,Nepotpuno osnovno obrazovanje,403
2013,Broj,Grad Zvornik,Oba pola,Nepotpuno osnovno obrazovanje,4702
2013,Broj,Grad Zvornik,M,Nepotpuno osnovno obrazovanje,1472
2013,Broj,Grad Zvornik,Ž,Nepotpuno osnovno obrazovanje,3230
2013,Broj,Istočna Ilidža,Oba pola,Nepotpuno osnovno obrazovanje,550
2013,Broj,Istočna Ilidža,M,Nepotpuno osnovno obrazovanje,65
2013,Broj,Istočna Ilidža,Ž,Nepotpuno osnovno obrazovanje,485
2013,Broj,Istočni Drvar,Oba pola,Nepotpuno osnovno obrazovanje,6
2013,Broj,Istočni Drvar,M,Nepotpuno osnovno obrazovanje,4
2013,Broj,Istočni Drvar,Ž,Nepotpuno osnovno obrazovanje,2
2013,Broj,Istočni Mostar,Oba pola,Nepotpuno osnovno obrazovanje,41
2013,Broj,Istočni Mostar,M,Nepotpuno osnovno obrazovanje,21
2013,Broj,Istočni Mostar,Ž,Nepotpuno osnovno obrazovanje,20
2013,Broj,Istočni Stari Grad,Oba pola,Nepotpuno osnovno obrazovanje,133
2013,Broj,Istočni Stari Grad,M,Nepotpuno osnovno obrazovanje,29
2013,Broj,Istočni Stari Grad,Ž,Nepotpuno osnovno obrazovanje,104
2013,Broj,Istočno Novo Sarajevo,Oba pola,Nepotpuno osnovno obrazovanje,454
2013,Broj,Istočno Novo Sarajevo,M,Nepotpuno osnovno obrazovanje,89
2013,Broj,Istočno Novo Sarajevo,Ž,Nepotpuno osnovno obrazovanje,365
2013,Broj,Jezero,Oba pola,Nepotpuno osnovno obrazovanje,105
2013,Broj,Jezero,M,Nepotpuno osnovno obrazovanje,39
2013,Broj,Jezero,Ž,Nepotpuno osnovno obrazovanje,66
2013,Broj,Kalinovik,Oba pola,Nepotpuno osnovno obrazovanje,175
2013,Broj,Kalinovik,M,Nepotpuno osnovno obrazovanje,48
2013,Broj,Kalinovik,Ž,Nepotpuno osnovno obrazovanje,127
2013,Broj,Kneževo,Oba pola,Nepotpuno osnovno obrazovanje,752
2013,Broj,Kneževo,M,Nepotpuno osnovno obrazovanje,318
2013,Broj,Kneževo,Ž,Nepotpuno osnovno obrazovanje,434
2013,Broj,Kozarska Dubica,Oba pola,Nepotpuno osnovno obrazovanje,1894
2013,Broj,Kozarska Dubica,M,Nepotpuno osnovno obrazovanje,683
2013,Broj,Kozarska Dubica,Ž,Nepotpuno osnovno obrazovanje,1211
2013,Broj,Kostajnica,Oba pola,Nepotpuno osnovno obrazovanje,387
2013,Broj,Kostajnica,M,Nepotpuno osnovno obrazovanje,132
2013,Broj,Kostajnica,Ž,Nepotpuno osnovno obrazovanje,255
2013,Broj,Kotor Varoš,Oba pola,Nepotpuno osnovno obrazovanje,1183
2013,Broj,Kotor Varoš,M,Nepotpuno osnovno obrazovanje,391
2013,Broj,Kotor Varoš,Ž,Nepotpuno osnovno obrazovanje,792
2013,Broj,Krupa Na Uni,Oba pola,Nepotpuno osnovno obrazovanje,316
2013,Broj,Krupa Na Uni,M,Nepotpuno osnovno obrazovanje,165
2013,Broj,Krupa Na Uni,Ž,Nepotpuno osnovno obrazovanje,151
2013,Broj,Kupres,Oba pola,Nepotpuno osnovno obrazovanje,19
2013,Broj,Kupres,M,Nepotpuno osnovno obrazovanje,9
2013,Broj,Kupres,Ž,Nepotpuno osnovno obrazovanje,10
2013,Broj,Laktaši,Oba pola,Nepotpuno osnovno obrazovanje,2504
2013,Broj,Laktaši,M,Nepotpuno osnovno obrazovanje,946
2013,Broj,Laktaši,Ž,Nepotpuno osnovno obrazovanje,1558
2013,Broj,Lopare,Oba pola,Nepotpuno osnovno obrazovanje,2118
2013,Broj,Lopare,M,Nepotpuno osnovno obrazovanje,943
2013,Broj,Lopare,Ž,Nepotpuno osnovno obrazovanje,1175
2013,Broj,Ljubinje,Oba pola,Nepotpuno osnovno obrazovanje,275
2013,Broj,Ljubinje,M,Nepotpuno osnovno obrazovanje,64
2013,Broj,Ljubinje,Ž,Nepotpuno osnovno obrazovanje,211
2013,Broj,Milići,Oba pola,Nepotpuno osnovno obrazovanje,729
2013,Broj,Milići,M,Nepotpuno osnovno obrazovanje,217
2013,Broj,Milići,Ž,Nepotpuno osnovno obrazovanje,512
2013,Broj,Modriča,Oba pola,Nepotpuno osnovno obrazovanje,2912
2013,Broj,Modriča,M,Nepotpuno osnovno obrazovanje,1049
2013,Broj,Modriča,Ž,Nepotpuno osnovno obrazovanje,1863
2013,Broj,Mrkonjić Grad,Oba pola,Nepotpuno osnovno obrazovanje,1769
2013,Broj,Mrkonjić Grad,M,Nepotpuno osnovno obrazovanje,777
2013,Broj,Mrkonjić Grad,Ž,Nepotpuno osnovno obrazovanje,992
2013,Broj,Nevesinje,Oba pola,Nepotpuno osnovno obrazovanje,1048
2013,Broj,Nevesinje,M,Nepotpuno osnovno obrazovanje,265
2013,Broj,Nevesinje,Ž,Nepotpuno osnovno obrazovanje,783
2013,Broj,Novi Grad,Oba pola,Nepotpuno osnovno obrazovanje,2172
2013,Broj,Novi Grad,M,Nepotpuno osnovno obrazovanje,757
2013,Broj,Novi Grad,Ž,Nepotpuno osnovno obrazovanje,1415
2013,Broj,Novo Goražde,Oba pola,Nepotpuno osnovno obrazovanje,162
2013,Broj,Novo Goražde,M,Nepotpuno osnovno obrazovanje,52
2013,Broj,Novo Goražde,Ž,Nepotpuno osnovno obrazovanje,110
2013,Broj,Osmaci,Oba pola,Nepotpuno osnovno obrazovanje,552
2013,Broj,Osmaci,M,Nepotpuno osnovno obrazovanje,172
2013,Broj,Osmaci,Ž,Nepotpuno osnovno obrazovanje,380
2013,Broj,Oštra Luka,Oba pola,Nepotpuno osnovno obrazovanje,352
2013,Broj,Oštra Luka,M,Nepotpuno osnovno obrazovanje,154
2013,Broj,Oštra Luka,Ž,Nepotpuno osnovno obrazovanje,198
2013,Broj,Pale,Oba pola,Nepotpuno osnovno obrazovanje,986
2013,Broj,Pale,M,Nepotpuno osnovno obrazovanje,214
2013,Broj,Pale,Ž,Nepotpuno osnovno obrazovanje,772
2013,Broj,Pelagićevo,Oba pola,Nepotpuno osnovno obrazovanje,1081
2013,Broj,Pelagićevo,M,Nepotpuno osnovno obrazovanje,459
2013,Broj,Pelagićevo,Ž,Nepotpuno osnovno obrazovanje,622
2013,Broj,Petrovac,Oba pola,Nepotpuno osnovno obrazovanje,28
2013,Broj,Petrovac,M,Nepotpuno osnovno obrazovanje,4
2013,Broj,Petrovac,Ž,Nepotpuno osnovno obrazovanje,24
2013,Broj,Petrovo,Oba pola,Nepotpuno osnovno obrazovanje,733
2013,Broj,Petrovo,M,Nepotpuno osnovno obrazovanje,180
2013,Broj,Petrovo,Ž,Nepotpuno osnovno obrazovanje,553
2013,Broj,Grad Prijedor,Oba pola,Nepotpuno osnovno obrazovanje,6219
2013,Broj,Grad Prijedor,M,Nepotpuno osnovno obrazovanje,1948
2013,Broj,Grad Prijedor,Ž,Nepotpuno osnovno obrazovanje,4271
2013,Broj,Prnjavor,Oba pola,Nepotpuno osnovno obrazovanje,4458
2013,Broj,Prnjavor,M,Nepotpuno osnovno obrazovanje,1948
2013,Broj,Prnjavor,Ž,Nepotpuno osnovno obrazovanje,2510
2013,Broj,Ribnik,Oba pola,Nepotpuno osnovno obrazovanje,641
2013,Broj,Ribnik,M,Nepotpuno osnovno obrazovanje,249
2013,Broj,Ribnik,Ž,Nepotpuno osnovno obrazovanje,392
2013,Broj,Rogatica,Oba pola,Nepotpuno osnovno obrazovanje,799
2013,Broj,Rogatica,M,Nepotpuno osnovno obrazovanje,239
2013,Broj,Rogatica,Ž,Nepotpuno osnovno obrazovanje,560
2013,Broj,Rudo,Oba pola,Nepotpuno osnovno obrazovanje,719
2013,Broj,Rudo,M,Nepotpuno osnovno obrazovanje,197
2013,Broj,Rudo,Ž,Nepotpuno osnovno obrazovanje,522
2013,Broj,Sokolac,Oba pola,Nepotpuno osnovno obrazovanje,747
2013,Broj,Sokolac,M,Nepotpuno osnovno obrazovanje,207
2013,Broj,Sokolac,Ž,Nepotpuno osnovno obrazovanje,540
2013,Broj,Srbac,Oba pola,Nepotpuno osnovno obrazovanje,2023
2013,Broj,Srbac,M,Nepotpuno osnovno obrazovanje,857
2013,Broj,Srbac,Ž,Nepotpuno osnovno obrazovanje,1166
2013,Broj,Srebrenica,Oba pola,Nepotpuno osnovno obrazovanje,1086
2013,Broj,Srebrenica,M,Nepotpuno osnovno obrazovanje,308
2013,Broj,Srebrenica,Ž,Nepotpuno osnovno obrazovanje,778
2013,Broj,Teslić,Oba pola,Nepotpuno osnovno obrazovanje,4433
2013,Broj,Teslić,M,Nepotpuno osnovno obrazovanje,1551
2013,Broj,Teslić,Ž,Nepotpuno osnovno obrazovanje,2882
2013,Broj,Grad Trebinje,Oba pola,Nepotpuno osnovno obrazovanje,1156
2013,Broj,Grad Trebinje,M,Nepotpuno osnovno obrazovanje,210
2013,Broj,Grad Trebinje,Ž,Nepotpuno osnovno obrazovanje,946
2013,Broj,Trnovo,Oba pola,Nepotpuno osnovno obrazovanje,151
2013,Broj,Trnovo,M,Nepotpuno osnovno obrazovanje,36
2013,Broj,Trnovo,Ž,Nepotpuno osnovno obrazovanje,115
2013,Broj,Ugljevik,Oba pola,Nepotpuno osnovno obrazovanje,1829
2013,Broj,Ugljevik,M,Nepotpuno osnovno obrazovanje,734
2013,Broj,Ugljevik,Ž,Nepotpuno osnovno obrazovanje,1095
2013,Broj,Foča,Oba pola,Nepotpuno osnovno obrazovanje,1301
2013,Broj,Foča,M,Nepotpuno osnovno obrazovanje,346
2013,Broj,Foča,Ž,Nepotpuno osnovno obrazovanje,955
2013,Broj,Han Pijesak,Oba pola,Nepotpuno osnovno obrazovanje,258
2013,Broj,Han Pijesak,M,Nepotpuno osnovno obrazovanje,61
2013,Broj,Han Pijesak,Ž,Nepotpuno osnovno obrazovanje,197
2013,Broj,Čajniče,Oba pola,Nepotpuno osnovno obrazovanje,474
2013,Broj,Čajniče,M,Nepotpuno osnovno obrazovanje,149
2013,Broj,Čajniče,Ž,Nepotpuno osnovno obrazovanje,325
2013,Broj,Čelinac,Oba pola,Nepotpuno osnovno obrazovanje,1317
2013,Broj,Čelinac,M,Nepotpuno osnovno obrazovanje,474
2013,Broj,Čelinac,Ž,Nepotpuno osnovno obrazovanje,843
2013,Broj,Šamac,Oba pola,Nepotpuno osnovno obrazovanje,2046
2013,Broj,Šamac,M,Nepotpuno osnovno obrazovanje,731
2013,Broj,Šamac,Ž,Nepotpuno osnovno obrazovanje,1315
2013,Broj,Šekovići,Oba pola,Nepotpuno osnovno obrazovanje,453
2013,Broj,Šekovići,M,Nepotpuno osnovno obrazovanje,181
2013,Broj,Šekovići,Ž,Nepotpuno osnovno obrazovanje,272
2013,Broj,Šipovo,Oba pola,Nepotpuno osnovno obrazovanje,908
2013,Broj,Šipovo,M,Nepotpuno osnovno obrazovanje,351
2013,Broj,Šipovo,Ž,Nepotpuno osnovno obrazovanje,557
2013,Broj,Republika Srpska,Oba pola,Osnovna škola,212834
2013,Broj,Republika Srpska,M,Osnovna škola,95682
2013,Broj,Republika Srpska,Ž,Osnovna škola,117152
2013,Broj,Grad Banja Luka,Oba pola,Osnovna škola,23011
2013,Broj,Grad Banja Luka,M,Osnovna škola,9927
2013,Broj,Grad Banja Luka,Ž,Osnovna škola,13084
2013,Broj,Berkovići,Oba pola,Osnovna škola,430
2013,Broj,Berkovići,M,Osnovna škola,221
2013,Broj,Berkovići,Ž,Osnovna škola,209
2013,Broj,Grad Bijeljina,Oba pola,Osnovna škola,18771
2013,Broj,Grad Bijeljina,M,Osnovna škola,8590
2013,Broj,Grad Bijeljina,Ž,Osnovna škola,10181
2013,Broj,Bileća,Oba pola,Osnovna škola,1951
2013,Broj,Bileća,M,Osnovna škola,867
2013,Broj,Bileća,Ž,Osnovna škola,1084
2013,Broj,Bratunac,Oba pola,Osnovna škola,3893
2013,Broj,Bratunac,M,Osnovna škola,1769
2013,Broj,Bratunac,Ž,Osnovna škola,2124
2013,Broj,Brod,Oba pola,Osnovna škola,2986
2013,Broj,Brod,M,Osnovna škola,1248
2013,Broj,Brod,Ž,Osnovna škola,1738
2013,Broj,Višegrad,Oba pola,Osnovna škola,1626
2013,Broj,Višegrad,M,Osnovna škola,593
2013,Broj,Višegrad,Ž,Osnovna škola,1033
2013,Broj,Vlasenica,Oba pola,Osnovna škola,2268
2013,Broj,Vlasenica,M,Osnovna škola,993
2013,Broj,Vlasenica,Ž,Osnovna škola,1275
2013,Broj,Vukosavlje,Oba pola,Osnovna škola,999
2013,Broj,Vukosavlje,M,Osnovna škola,472
2013,Broj,Vukosavlje,Ž,Osnovna škola,527
2013,Broj,Gacko,Oba pola,Osnovna škola,1356
2013,Broj,Gacko,M,Osnovna škola,530
2013,Broj,Gacko,Ž,Osnovna škola,826
2013,Broj,Grad Gradiška,Oba pola,Osnovna škola,9626
