Year,Value,UNIT_MEASURE
2003,8.8,Broj na 1.000 stanovnika
2004,8.9,Broj na 1.000 stanovnika
2005,8.7,Broj na 1.000 stanovnika
2006,8.9,Broj na 1.000 stanovnika
2007,8.6,Broj na 1.000 stanovnika
2008,8.6,Broj na 1.000 stanovnika
2009,9.0,Broj na 1.000 stanovnika
2010,8.6,Broj na 1.000 stanovnika
2011,8.1,Broj na 1.000 stanovnika
2012,8.5,Broj na 1.000 stanovnika
2013,8.1,Broj na 1.000 stanovnika
2014,8.0,Broj na 1.000 stanovnika
2015,8.1,Broj na 1.000 stanovnika
2016,8.2,Broj na 1.000 stanovnika
2017,8.1,Broj na 1.000 stanovnika
2018,8.3,Broj na 1.000 stanovnika
2019,8.1,Broj na 1.000 stanovnika
2020,8.1,Broj na 1.000 stanovnika
