Year,UNIT_MEASURE,Vrsta korisnika,Value
2016,Broj,Broj korisnika,23202
2017,Broj,Broj korisnika,20279
2018,Broj,Broj korisnika,21839
2019,Broj,Broj korisnika,15388
2020,Broj,Broj korisnika,13381
2016,Broj,Broj djece,33125
2017,Broj,Broj djece,28767
2018,Broj,Broj djece,27222
2019,Broj,Broj djece,21862
2020,Broj,Broj djece,19210
2021,Broj,Broj korisnika,12033
2021,Broj,Broj djece,17395
