Year,UNIT_MEASURE,Grad/opština,Broj članova,Value
2013,Broj,Republika Srpska,Ukupno,408825
2013,Broj,Grad Banja Luka,Ukupno,65010
2013,Broj,Berkovići,Ukupno,636
2013,Broj,Grad Bijeljina,Ukupno,34309
2013,Broj,Bileća,Ukupno,3307
2013,Broj,Bratunac,Ukupno,5945
2013,Broj,Brod,Ukupno,5599
2013,Broj,Višegrad,Ukupno,3966
2013,Broj,Vlasenica,Ukupno,3712
2013,Broj,Vukosavlje,Ukupno,1537
2013,Broj,Gacko,Ukupno,2766
2013,Broj,Grad Gradiška,Ukupno,16939
2013,Broj,Grad Derventa,Ukupno,9345
2013,Broj,Grad Doboj,Ukupno,25447
2013,Broj,Donji Žabar,Ukupno,1191
2013,Broj,Grad Zvornik,Ukupno,17690
2013,Broj,Istočna Ilidža,Ukupno,4981
2013,Broj,Istočni Drvar,Ukupno,38
2013,Broj,Istočni Mostar,Ukupno,83
2013,Broj,Istočni Stari Grad,Ukupno,438
2013,Broj,Istočno Novo Sarajevo,Ukupno,3819
2013,Broj,Jezero,Ukupno,365
2013,Broj,Kalinovik,Ukupno,783
2013,Broj,Kneževo,Ukupno,3168
2013,Broj,Kozarska Dubica,Ukupno,7492
2013,Broj,Kostajnica,Ukupno,1896
2013,Broj,Kotor Varoš,Ukupno,5863
2013,Broj,Krupa Na Uni,Ukupno,543
2013,Broj,Kupres,Ukupno,128
2013,Broj,Laktaši,Ukupno,11293
2013,Broj,Lopare,Ukupno,5081
2013,Broj,Ljubinje,Ukupno,1077
2013,Broj,Milići,Ukupno,3579
2013,Broj,Modriča,Ukupno,8553
2013,Broj,Mrkonjić Grad,Ukupno,6104
2013,Broj,Nevesinje,Ukupno,3985
2013,Broj,Novi Grad,Ukupno,8792
2013,Broj,Novo Goražde,Ukupno,1078
2013,Broj,Osmaci,Ukupno,1675
2013,Broj,Oštra Luka,Ukupno,971
2013,Broj,Pale,Ukupno,7158
2013,Broj,Pelagićevo,Ukupno,1787
2013,Broj,Petrovac,Ukupno,130
2013,Broj,Petrovo,Ukupno,2532
2013,Broj,Grad Prijedor,Ukupno,27961
2013,Broj,Prnjavor,Ukupno,12166
2013,Broj,Ribnik,Ukupno,2252
2013,Broj,Rogatica,Ukupno,3871
2013,Broj,Rudo,Ukupno,2847
2013,Broj,Sokolac,Ukupno,4276
2013,Broj,Srbac,Ukupno,6157
2013,Broj,Srebrenica,Ukupno,3792
2013,Broj,Teslić,Ukupno,13255
2013,Broj,Grad Trebinje,Ukupno,9394
2013,Broj,Trnovo,Ukupno,800
2013,Broj,Ugljevik,Ukupno,4867
2013,Broj,Foča,Ukupno,6544
